catalog,variant,fn,severity_label,severity_value,mainshock_idx,mainshock_mag,mc_ref,t_c,mainshock_anchor_lost,n_naive_fit,n_stai_fit,naive_p,naive_c,naive_K,naive_degenerate,stai_p,stai_c,stai_K,stai_degenerate,naive_pred_n,stai_pred_n,actual_forecast_n,naive_abs_err,stai_abs_err,naive_rel_err,stai_rel_err,t_d,decision,hard_override_fired,a_score,a3_score
kahramanmaras_2023,depth_implausible_low,depth_implausible,low,0.2,487,7.8,4.299999999999999,0.0464158883361279,False,264,244,1.7886087883601798,0.5623413251903491,210.75640773050563,False,1.934907044801166,0.7498942093324559,310.4417720578754,False,30.478283657698505,30.299863256061855,29,1.4782836576985048,1.2998632560618582,0.0509752985413277,0.0448228708986847,,REJECT,True,0.679805355986672,0.9022981297926892
kahramanmaras_2023,depth_implausible_med,depth_implausible,med,0.45,487,7.8,4.299999999999999,0.0464158883361279,False,264,244,1.7886087883601798,0.5623413251903491,210.75640773050563,False,1.934907044801166,0.7498942093324559,310.4417720578754,False,30.478283657698505,30.299863256061855,29,1.4782836576985048,1.2998632560618582,0.0509752985413277,0.0448228708986847,,REJECT,True,0.679805355986672,0.9022981297926892
kahramanmaras_2023,depth_implausible_high,depth_implausible,high,0.8,487,7.8,4.299999999999999,0.0464158883361279,False,264,244,1.7886087883601798,0.5623413251903491,210.75640773050563,False,1.934907044801166,0.7498942093324559,310.4417720578754,False,30.478283657698505,30.299863256061855,29,1.4782836576985048,1.2998632560618582,0.0509752985413277,0.0448228708986847,,REJECT,True,0.679805355986672,0.9022981297926892
kahramanmaras_2023,timestamp_collision_low,timestamp_collision,low,0.2,487,7.8,4.299999999999999,0.0464158883361279,False,172,160,1.8118596997070533,0.5623413251903491,157.2459110430254,False,1.9876919456152888,0.7498942093324559,231.61995170929703,False,21.468426009031383,19.83312805999292,29,7.531573990968617,9.166871940007084,0.259709447964435,0.3160990324140373,0.7175160499200398,CONDITIONAL,False,0.6777237042045097,0.9090052211791656
kahramanmaras_2023,timestamp_collision_med,timestamp_collision,med,0.45,487,7.8,4.299999999999999,0.0464158883361279,False,138,129,2.1411588605530607,0.7498942093324559,205.64425789099528,False,2.2883550487354145,0.7498942093324559,232.89850426667263,False,12.0513935219833,9.50427854400343,29,16.9486064780167,19.49572145599657,0.5844347061385069,0.67226625710333,0.6614321923336457,CONDITIONAL,False,0.6330487684323818,0.8886913761815052
kahramanmaras_2023,timestamp_collision_high,timestamp_collision,high,0.8,487,7.8,4.299999999999999,0.0464158883361279,False,82,76,2.146525216650186,0.5623413251903491,105.48038700339777,False,2.189284466275011,0.5623413251903491,106.91267113724167,False,6.323894481458476,5.774031130838706,29,22.67610551854153,23.22596886916129,0.7819346730531561,0.8008954782469411,0.6343815621945147,CONDITIONAL,False,0.6444768085468733,0.8751660322510234
kahramanmaras_2023,magnitude_gr_violation_low,magnitude_gr_violation,low,0.2,487,7.8,4.299999999999999,0.0464158883361279,False,296,276,1.6125676939196474,0.5623413251903491,213.78265656480497,False,1.5929069340924356,0.5623413251903491,220.35024943443287,False,47.86946778845238,51.81794821381272,29,18.869467788452383,22.81794821381272,0.6506713030500821,0.7868258004763007,0.7465817631700592,CONDITIONAL,False,0.6424690061630992,0.8157874086829289
kahramanmaras_2023,magnitude_gr_violation_med,magnitude_gr_violation,med,0.45,487,7.8,4.299999999999999,0.0464158883361279,False,312,292,1.615260558471531,0.5623413251903491,223.12603805705936,False,1.5912852081083846,0.5623413251903491,229.39382998939064,False,49.62755002879131,54.163211240063546,29,20.627550028791312,25.163211240063543,0.7112948285790107,0.8676969393125361,0.7453647931830946,CONDITIONAL,False,0.6420324414222299,0.8161243965176803
kahramanmaras_2023,magnitude_gr_violation_high,magnitude_gr_violation,high,0.8,487,7.8,4.299999999999999,0.0464158883361279,False,329,307,1.4500454359478223,0.4216965034285822,184.1101940342274,False,1.410677730406458,0.4216965034285822,180.18448695514755,False,62.97051656169554,67.9863055622876,29,33.97051656169554,38.9863055622876,1.1713971228170876,1.3443553642168138,0.734351665285034,CONDITIONAL,False,0.6356334697712699,0.8020706558778454
gorkha_nepal_2015,clean_original,none,none,0.0,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,0.5697991094427788,CONDITIONAL,False,0.478069397593791,0.7241812737007818
gorkha_nepal_2015,coordinate_jitter_low,coordinate_jitter,low,0.2,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,0.612372139626408,CONDITIONAL,False,0.5432460800509913,0.7241812737007818
gorkha_nepal_2015,coordinate_jitter_med,coordinate_jitter,med,0.45,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,0.6621882436785432,CONDITIONAL,False,0.6155378335366017,0.7241812737007818
gorkha_nepal_2015,coordinate_jitter_high,coordinate_jitter,high,0.8,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,0.6365243913903039,CONDITIONAL,False,0.574702247706275,0.7241812737007818
gorkha_nepal_2015,inject_duplicates_low,inject_duplicates,low,0.2,258,7.8,4.0,0.1165914401179831,False,160,109,1.113493226846355,0.0421696503428582,39.574448864648126,False,1.305609304545315,0.3162277660168379,69.68286953313037,False,32.641418067708784,34.60081402739128,94,61.358581932291216,59.39918597260872,0.6527508716201194,0.6319062337511566,0.5544678070773388,CONDITIONAL,False,0.5061028229929466,0.7738169634547902
gorkha_nepal_2015,inject_duplicates_med,inject_duplicates,med,0.45,258,7.8,4.0,0.1165914401179831,False,176,118,1.1734442682908246,0.0562341325190349,44.673026495704974,False,1.513481093784247,0.5623413251903491,114.07113054485812,False,31.700991804760683,32.70886044126554,94,62.29900819523932,61.29113955873446,0.6627554063323332,0.6520333995610048,0.5374572570965298,CONDITIONAL,False,0.502220334342138,0.7706958772201498
gorkha_nepal_2015,inject_duplicates_high,inject_duplicates,high,0.8,258,7.8,4.0,0.1165914401179831,False,203,137,1.119145031236457,0.0421696503428582,50.12238815953995,False,1.1634608473845445,0.2371373705661655,82.20497564451182,False,40.764295203522174,58.71726427986423,94,53.23570479647783,35.28273572013577,0.566337285068913,0.3753482523418698,0.5235376121306425,CONDITIONAL,False,0.5036035718138465,0.7813458968789664
gorkha_nepal_2015,inject_missingness_low,inject_missingness,low,0.2,258,7.8,4.0,0.1165914401179831,True,0,0,,,,True,,,,True,,,94,,,,,0.621996170464191,CONDITIONAL,False,0.5555419556023051,0.8026637359440616
gorkha_nepal_2015,inject_missingness_med,inject_missingness,med,0.45,258,7.8,4.0,0.1165914401179831,True,0,0,,,,True,,,,True,,,94,,,,,0.5837819741569613,CONDITIONAL,False,0.502280552697689,0.6186021150194565
gorkha_nepal_2015,inject_missingness_high,inject_missingness,high,0.8,258,7.8,4.0,0.1165914401179831,True,0,0,,,,True,,,,True,,,94,,,,,0.5193444602126864,CONDITIONAL,False,0.4052422902128205,
gorkha_nepal_2015,depth_implausible_low,depth_implausible,low,0.2,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,,REJECT,True,0.478069397593791,0.7241812737007818
gorkha_nepal_2015,depth_implausible_med,depth_implausible,med,0.45,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,,REJECT,True,0.478069397593791,0.7241812737007818
gorkha_nepal_2015,depth_implausible_high,depth_implausible,high,0.8,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,,REJECT,True,0.478069397593791,0.7241812737007818
gorkha_nepal_2015,timestamp_collision_low,timestamp_collision,low,0.2,258,7.8,4.0,0.1165914401179831,False,81,56,1.2701247697477849,0.1,24.044868132084208,False,1.4637169146570277,0.1778279410038923,35.10863304663129,False,13.361428573370436,11.975229975856106,94,80.63857142662957,82.02477002414389,0.8578571428364847,0.8726039364270627,0.6126610752321883,CONDITIONAL,False,0.5370120166511831,0.7558170301700606
gorkha_nepal_2015,timestamp_collision_med,timestamp_collision,med,0.45,258,7.8,4.0,0.1165914401179831,False,64,46,1.4364389104547497,0.1778279410038923,24.45759274942155,False,2.0552818861213566,1.0,108.76191139268472,False,8.923272235139448,7.535136767940715,94,85.07672776486055,86.46486323205929,0.9050715719666016,0.9198389705538222,0.5752221118068442,CONDITIONAL,False,0.5197037355344282,0.7344991059233914
gorkha_nepal_2015,timestamp_collision_high,timestamp_collision,high,0.8,258,7.8,4.0,0.1165914401179831,False,39,28,0.8847990060218782,0.0074989420933245,11.350001837549312,False,2.2022254138232142,1.0,62.54748726364399,False,16.623477323074766,3.005074769438953,94,77.37652267692523,90.99492523056104,0.8231544965630344,0.9680311194740536,0.5567476023638273,CONDITIONAL,False,0.543871134461046,0.8198671057100055
gorkha_nepal_2015,magnitude_gr_violation_low,magnitude_gr_violation,low,0.2,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,0.5475139865920503,CONDITIONAL,False,0.4427737492217384,0.6427646031314677
gorkha_nepal_2015,magnitude_gr_violation_med,magnitude_gr_violation,med,0.45,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,0.6057129789551873,CONDITIONAL,False,0.4491681182189113,0.6593222094072803
gorkha_nepal_2015,magnitude_gr_violation_high,magnitude_gr_violation,high,0.8,258,7.8,4.0,0.1165914401179831,False,130,89,1.1010279837446866,0.0421696503428582,31.635282526633624,False,1.0647631036544294,0.0749894209332455,40.48997553092522,False,26.91520247786421,37.591440828775085,94,67.0847975221358,56.40855917122492,0.7136680587461256,0.6000910550130311,0.5997898825062454,CONDITIONAL,False,0.4468380229493703,0.654783056296457
